iter,fitness,time,XPL,XPT,DIV
0,68085.1293413855,0.012,100.0,0.0
1,4367.53347940814,2.085,20.51,79.49,10.308
2,4367.53347940814,2.019,27.24,72.76,13.688
3,4367.53347940814,2.029,22.48,77.52,11.298
4,4367.53347940814,2.185,22.24,77.76,11.178
5,4367.53347940814,2.079,22.36,77.64,11.237
6,4367.53347940814,2.013,22.67,77.33,11.393
7,4367.53347940814,2.007,22.53,77.47,11.322
8,4367.53347940814,2.004,22.26,77.74,11.189
9,4367.53347940814,2.003,22.07,77.93,11.09
10,4367.53347940814,2.009,22.02,77.98,11.069
11,4367.53347940814,2.046,21.98,78.02,11.046
12,4367.53347940814,2.047,21.95,78.05,11.032
13,4367.53347940814,2.066,21.85,78.15,10.979
